Array: 
41 18467 6334 26500 19169 15724 11478 29358 26962 24464 5705 28145 23281 16827 9961 491 2995 11942 4827 5436 32391 14604 3902 153 292 12382 17421 18716 19718 19895 5447 21726 14771 11538 1869 19912 25667 26299 17035 9894 28703 23811 31322 30333 17673 4664 15141 7711 28253 6868 25547 27644 32662 32757 20037 12859 8723 9741 27529 778 12316 3035 22190 1842 288 30106 9040 8942 19264 22648 27446 23805 15890 6729 24370 15350 15006 31101 24393 3548 19629 12623 24084 19954 18756 11840 4966 7376 13931 26308 16944 32439 24626 11323 5537 21538 16118 2082 22929 16541 4833 31115 4639 29658 22704 9930 13977 2306 31673 22386 5021 28745 26924 19072 6270 5829 26777 15573 5097 16512 23986 13290 9161 18636 22355 24767 23655 15574 4031 12052 27350 1150 16941 21724 13966 3430 31107 30191 18007 11337 15457 12287 27753 10383 14945 8909 32209 9758 24221 18588 6422 24946 27506 13030 16413 29168 900 32591 18762 1655 17410 6359 27624 20537 21548 6483 27595 4041 3602 24350 10291 30836 9374 11020 4596 24021 27348 23199 19668 24484 8281 4734 53 1999 26418 27938 6900 3788 18127 467 3728 14893 24648 22483 17807 2421 14310 6617 22813 9514 14309 7616 18935 17451 20600 5249 16519 31556 22798 30303 6224 11008 5844 32609 14989 32702 3195 20485 3093 14343 30523 1587 29314 9503 7448 25200 13458 6618 20580 19796 14798 15281 19589 20798 28009 27157 20472 23622 18538 12292 6038 24179 18190 29657 7958 6191 19815 22888 19156 11511 16202 2634 24272 20055 20328 22646 26362 4886 18875 28433 29869 20142 23844 1416 21881 31998 10322 18651 10021 5699 3557 28476 27892 24389 5075 10712 2600 2510 21003 26869 17861 14688 13401 9789 15255 16423 5002 10585 24182 10285 27088 31426 28617 23757 9832 30932 4169 2154 25721 17189 19976 31329 2368 28692 21425 10555 3434 16549 7441 9512 30145 18060 21718 3753 16139 12423 16279 25996 16687 12529 22549 17437 19866 12949 193 23195 3297 20416 28286 16105 24488 16282 12455 25734 18114 11701 31316 20671 5786 12263 4313 24355 31185 20053 912 10808 1832 20945 4313 27756 28321 19558 23646 27982 481 4144 23196 20222 7129 2161 5535 20450 11173 10466 12044 21659 26292 26439 17253 20024 26154 29510 4745 20649 13186 8313 4474 28022 2168 14018 18787 9905 17958 7391 10202 3625 26477 4414 9314 25824 29334 25874 24372 20159 11833 28070 7487 28297 7518 8177 17773 32270 1763 2668 17192 13985 3102 8480 29213 7627 4802 4099 30527 2625 1543 1924 11023 29972 13061 14181 31003 27432 17505 27593 22725 13031 8492 142 17222 31286 13064 7900 19187 8360 22413 30974 14270 29170 235 30833 19711 25760 18896 4667 7285 12550 140 13694 2695 21624 28019 2125 26576 21694 22658 26302 17371 22466 4678 22593 23851 25484 1018 28464 21119 23152 2800 18087 31060 1926 9010 4757 32170 20315 9576 30227 12043 22758 7164 5109 7882 17086 29565 3487 29577 14474 2625 25627 5629 31928 25423 28520 6902 14962 123 24596 3737 13261 10195 32525 1264 8260 6202 8116 5030 20326 29011 30771 6411 25547 21153 21520 29790 14924 30188 21763 4940 20851 18662 13829 30900 17713 18958 17578 8365 13007 11477 1200 26058 6439 2303 12760 19357 2324 6477 5108 21113 14887 19801 22850 14460 22428 12993 27384 19405 6540 31111 28704 12835 32356 6072 29350 18823 14485 20556 23216 1626 9357 8526 13357 29337 23271 23869 29361 12896 13022 29617 10112 12717 18696 11585 24041 24423 24129 24229 4565 6559 8932 22296 29855 12053 16962 3584 29734 6654 16972 21457 14369 22532 2963 2607 2483 911 11635 10067 22848 4675 12938 2223 22142 23754 6511 22741 20175 21459 17825 3221 17870 1626 31934 15205 31783 23850 17398 22279 22701 12193 12734 1637 26534 5556 1993 10176 25705 6962 10548 15881 300 14413 16641 19855 24855 13142 11462 27611 30877 20424 32678 1752 18443 28296 12673 10040 9313 875 20072 12818 610 1017 14932 28112 30695 13169 23831 20040 26488 28685 19090 19497 2589 25990 15145 19353 19314 18651 26740 22044 11258 335 8759 11192 7605 25264 12181 28503 3829 23775 20608 29292 5997 17549 29556 25561 31627 6467 29541 26129 31240 27813 29174 20601 6077 20215 8683 8213 23992 25824 5601 23392 15759 2670 26428 28027 4084 10075 18786 15498 24970 6287 23847 32604 503 21221 22663 5706 2363 9010 22171 27489 18240 12164 25542 7619 20913 7591 6704 31818 9232 750 25205 4975 1539 303 11422 21098 11247 13584 13648 2971 17864 22913 11075 21545 28712 17546 18678 1769 15262 8519 13985 28289 15944 2865 18540 23245 25508 28318 27870 9601 28323 21132 24472 27152 25087 28570 29763 29901 17103 14423 3527 11600 26969 14015 5565 28 21543 25347 2088 2943 12637 22409 26463 5049 4681 1588 11342 608 32060 21221 1758 29954 20888 14146 690 7949 12843 21430 25620 748 27067 4536 20783 18035 32226 15185 7038 9853 25629 11224 15748 19923 3359 32257 24766 4944 14955 23318 32726 25411 21025 20355 31001 22549 9496 18584 9515 17964 23342 8075 17913 16142 31196 21948 25072 20426 14606 26173 24429 32404 6705 20626 29812 19375 30093 16565 16036 14736 29141 30814 5994 8256 6652 23936 30838 20482 1355 21015 1131 18230 17841 14625 2011 32637 4186 19690 1650 5662 21634 10893 10353 21416 13452 14008 7262 22233 5454 16303 16634 26303 14256 148 11124 12317 4213 27109 24028 29200 21080 21318 16858 24050 24155 31361 15264 11903 3676 29643 26909 14902 3561 28489 24948 1282 13653 30674 2220 5402 6923 3831 19369 3878 20259 19008 22619 23971 30003 21945 9781 26504 12392 32685 25313 6698 5589 12722 5938 19037 6410 31461 6234 12508 9961 3959 6493 1515 25269 24937 28869 58 14700 13971 26264 15117 16215 24555 7815 18330 3039 30212 29288 28082 1954 16085 20710 24484 24774 8380 29815 25951 6541 18115 1679 17110 25898 23073 788 23977 18132 29956 28689 26113 10008 12941 15790 1723 21363 28 25184 24778 7200 5071 1885 21974 1071 11333 22867 26153 14295 32168 20825 9676 15629 28650 2598 3309 4693 4686 30080 10116 12249 
Result: 
m[] bbl[] shl[] mrg[]
41 28 28 28 
18467 28 28 28 
6334 41 41 41 
26500 53 53 53 
19169 58 58 58 
15724 123 123 123 
11478 140 140 140 
29358 142 142 142 
26962 148 148 148 
24464 153 153 153 
5705 193 193 193 
28145 235 235 235 
23281 288 288 288 
16827 292 292 292 
9961 300 300 300 
491 303 303 303 
2995 335 335 335 
11942 467 467 467 
4827 481 481 481 
5436 491 491 491 
32391 503 503 503 
14604 608 608 608 
3902 610 610 610 
153 690 690 690 
292 748 748 748 
12382 750 750 750 
17421 778 778 778 
18716 788 788 788 
19718 875 875 875 
19895 900 900 900 
5447 911 911 911 
21726 912 912 912 
14771 1017 1017 1017 
11538 1018 1018 1018 
1869 1071 1071 1071 
19912 1131 1131 1131 
25667 1150 1150 1150 
26299 1200 1200 1200 
17035 1264 1264 1264 
9894 1282 1282 1282 
28703 1355 1355 1355 
23811 1416 1416 1416 
31322 1515 1515 1515 
30333 1539 1539 1539 
17673 1543 1543 1543 
4664 1587 1587 1587 
15141 1588 1588 1588 
7711 1626 1626 1626 
28253 1626 1626 1626 
6868 1637 1637 1637 
25547 1650 1650 1650 
27644 1655 1655 1655 
32662 1679 1679 1679 
32757 1723 1723 1723 
20037 1752 1752 1752 
12859 1758 1758 1758 
8723 1763 1763 1763 
9741 1769 1769 1769 
27529 1832 1832 1832 
778 1842 1842 1842 
12316 1869 1869 1869 
3035 1885 1885 1885 
22190 1924 1924 1924 
1842 1926 1926 1926 
288 1954 1954 1954 
30106 1993 1993 1993 
9040 1999 1999 1999 
8942 2011 2011 2011 
19264 2082 2082 2082 
22648 2088 2088 2088 
27446 2125 2125 2125 
23805 2154 2154 2154 
15890 2161 2161 2161 
6729 2168 2168 2168 
24370 2220 2220 2220 
15350 2223 2223 2223 
15006 2303 2303 2303 
31101 2306 2306 2306 
24393 2324 2324 2324 
3548 2363 2363 2363 
19629 2368 2368 2368 
12623 2421 2421 2421 
24084 2483 2483 2483 
19954 2510 2510 2510 
18756 2589 2589 2589 
11840 2598 2598 2598 
4966 2600 2600 2600 
7376 2607 2607 2607 
13931 2625 2625 2625 
26308 2625 2625 2625 
16944 2634 2634 2634 
32439 2668 2668 2668 
24626 2670 2670 2670 
11323 2695 2695 2695 
5537 2800 2800 2800 
21538 2865 2865 2865 
16118 2943 2943 2943 
2082 2963 2963 2963 
22929 2971 2971 2971 
16541 2995 2995 2995 
4833 3035 3035 3035 
31115 3039 3039 3039 
4639 3093 3093 3093 
29658 3102 3102 3102 
22704 3195 3195 3195 
9930 3221 3221 3221 
13977 3297 3297 3297 
2306 3309 3309 3309 
31673 3359 3359 3359 
22386 3430 3430 3430 
5021 3434 3434 3434 
28745 3487 3487 3487 
26924 3527 3527 3527 
19072 3548 3548 3548 
6270 3557 3557 3557 
5829 3561 3561 3561 
26777 3584 3584 3584 
15573 3602 3602 3602 
5097 3625 3625 3625 
16512 3676 3676 3676 
23986 3728 3728 3728 
13290 3737 3737 3737 
9161 3753 3753 3753 
18636 3788 3788 3788 
22355 3829 3829 3829 
24767 3831 3831 3831 
23655 3878 3878 3878 
15574 3902 3902 3902 
4031 3959 3959 3959 
12052 4031 4031 4031 
27350 4041 4041 4041 
1150 4084 4084 4084 
16941 4099 4099 4099 
21724 4144 4144 4144 
13966 4169 4169 4169 
3430 4186 4186 4186 
31107 4213 4213 4213 
30191 4313 4313 4313 
18007 4313 4313 4313 
11337 4414 4414 4414 
15457 4474 4474 4474 
12287 4536 4536 4536 
27753 4565 4565 4565 
10383 4596 4596 4596 
14945 4639 4639 4639 
8909 4664 4664 4664 
32209 4667 4667 4667 
9758 4675 4675 4675 
24221 4678 4678 4678 
18588 4681 4681 4681 
6422 4686 4686 4686 
24946 4693 4693 4693 
27506 4734 4734 4734 
13030 4745 4745 4745 
16413 4757 4757 4757 
29168 4802 4802 4802 
900 4827 4827 4827 
32591 4833 4833 4833 
18762 4886 4886 4886 
1655 4940 4940 4940 
17410 4944 4944 4944 
6359 4966 4966 4966 
27624 4975 4975 4975 
20537 5002 5002 5002 
21548 5021 5021 5021 
6483 5030 5030 5030 
27595 5049 5049 5049 
4041 5071 5071 5071 
3602 5075 5075 5075 
24350 5097 5097 5097 
10291 5108 5108 5108 
30836 5109 5109 5109 
9374 5249 5249 5249 
11020 5402 5402 5402 
4596 5436 5436 5436 
24021 5447 5447 5447 
27348 5454 5454 5454 
23199 5535 5535 5535 
19668 5537 5537 5537 
24484 5556 5556 5556 
8281 5565 5565 5565 
4734 5589 5589 5589 
53 5601 5601 5601 
1999 5629 5629 5629 
26418 5662 5662 5662 
27938 5699 5699 5699 
6900 5705 5705 5705 
3788 5706 5706 5706 
18127 5786 5786 5786 
467 5829 5829 5829 
3728 5844 5844 5844 
14893 5938 5938 5938 
24648 5994 5994 5994 
22483 5997 5997 5997 
17807 6038 6038 6038 
2421 6072 6072 6072 
14310 6077 6077 6077 
6617 6191 6191 6191 
22813 6202 6202 6202 
9514 6224 6224 6224 
14309 6234 6234 6234 
7616 6270 6270 6270 
18935 6287 6287 6287 
17451 6334 6334 6334 
20600 6359 6359 6359 
5249 6410 6410 6410 
16519 6411 6411 6411 
31556 6422 6422 6422 
22798 6439 6439 6439 
30303 6467 6467 6467 
6224 6477 6477 6477 
11008 6483 6483 6483 
5844 6493 6493 6493 
32609 6511 6511 6511 
14989 6540 6540 6540 
32702 6541 6541 6541 
3195 6559 6559 6559 
20485 6617 6617 6617 
3093 6618 6618 6618 
14343 6652 6652 6652 
30523 6654 6654 6654 
1587 6698 6698 6698 
29314 6704 6704 6704 
9503 6705 6705 6705 
7448 6729 6729 6729 
25200 6868 6868 6868 
13458 6900 6900 6900 
6618 6902 6902 6902 
20580 6923 6923 6923 
19796 6962 6962 6962 
14798 7038 7038 7038 
15281 7129 7129 7129 
19589 7164 7164 7164 
20798 7200 7200 7200 
28009 7262 7262 7262 
27157 7285 7285 7285 
20472 7376 7376 7376 
23622 7391 7391 7391 
